,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
2915569,M416,yxsxxx,1.0,431820.8,260922.0,MIRAMAR,2U4GBNA0YmkuCKCtSXLO_Lg0rOZkEx4acB0zQgeTA4PJVQdW-H9cGvc4_qTGMlZq,1788,Kingbacka,2.0,429990.3,260857.2
2919485,M416,nibaba2012,1.0,526217.6,389081.3,MIRAMAR,2U4GBNA0Ymn8Flc2B9aLFB-IjmQgNTSEDtHmmjWZE3H6gPJLW_mW-Rt0ZIWlF7dJ,1858,wu6la,2.0,528747.4,393370.1
2926190,Groza,MrNamDz,1.0,305514.0,295279.2,MIRAMAR,2U4GBNA0Yml3mlqw7GJdhIJLkvhQBnM603LMV_VpE69kA-ptLmaio-4WspJxNfcL,1823,dorian12,2.0,304477.7,293777.5
2927933,SCAR-L,bingbinglingxue,1.0,507315.2,253889.0,MIRAMAR,2U4GBNA0YmnJoD6omulydeZvf8ynxJb6ZScKFP5aT-U-SkFerxzGCQzjpaZEQecY,1821,MXF0829,2.0,504291.3,258962.0
2933806,SCAR-L,GoomonTeacher,1.0,506888.5,257952.4,MIRAMAR,2U4GBNA0YmlxOXf601bQiHEj3ISvtDB8rpBHqSBAZE1vs2aFB935YZXDwVS2pDeY,1902,n0sral,2.0,505305.5,259625.5
2937474,Grenade,paradisesa,1.0,337115.7,189513.2,MIRAMAR,2U4GBNA0Ymm_Qjvx22BwKR1AsKuzPQh3sIDsopYtRZv1Gp0S85gPSgkPamSlxdLU,1922,Barbarian-Boa,2.0,342117.8,187438.7
2937897,SCAR-L,kotorinyann,1.0,305549.9,381045.2,MIRAMAR,2U4GBNA0YmlTbgmf4VB64jFhw6SaSIN8cfavjiJNySAg-XMv7KlEcbenwxFP5Kgl,1944,SuperDanche,2.0,303543.8,382368.5
2943396,M416,539387566Qun,1.0,652573.0,488298.0,MIRAMAR,2U4GBNA0YmlBX0HTsqmTdkfnDXFR3iODlR0MTSqcCAsa9t0VEkG5hNcG43tz2CW5,1860,Mikey_P76,2.0,657202.3,495224.5
2944288,SCAR-L,binbinge520,1.0,188659.7,477301.5,MIRAMAR,2U4GBNA0Ymlg4AFb3eotNbtw6N0101kNO0mgya55WLLb2cckEMW7w8k5oZHxmcth,1907,Slimmysole,2.0,191106.8,477176.4
2945461,Kar98k,longwang110,1.0,392110.3,651248.1,MIRAMAR,2U4GBNA0Yml8UVnce4kohIavG0OtdjqHuozAa7P93BDMKGHiCXFKsMy7WOD43Qhv,1863,BlueDevilVergil,2.0,396829.4,647083.4
2946782,AKM,Raodi,1.0,365220.5,206513.8,MIRAMAR,2U4GBNA0YmlZyaDA5qsM2RiTR8x6JNbSEBjJd64L-qihGSFtqHbjoIFpjGi87gHo,1771,leo307,2.0,356148.5,205535.4
